asset,agency,check,outcome,affected,population,example,info
loc-relators,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-relators,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-relators,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-relators,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-relators,Library of Congress,SAR-P03,passed,,,,
loc-relators,Library of Congress,SAR-P01,passed,,1846,,parsed 1846 triples as xml
loc-relators,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-relators,Library of Congress,SAR-L04,passed,0,1,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-relators,Library of Congress,SAR-L05,passed,0,0,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-relators,Library of Congress,SAR-L06,passed,0,0,,S14: no more than one prefLabel per language tag
loc-relators,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-relators,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-relators,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-relators,Library of Congress,SAR-D01,failed,305,305,http://id.loc.gov/vocabulary/relators/rce,
loc-relators,Library of Congress,SAR-D02,failed,305,305,http://id.loc.gov/vocabulary/relators/rce,
loc-relators,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-relators,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-relators,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-relators,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-relators,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-relators,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-relators,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-relators,Library of Congress,SAR-I02,failed,1,17,http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember,1 of 17 referenced external terms did not resolve
loc-relators,Library of Congress,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
loc-relators,Library of Congress,SAR-L02,cantTell,,,,reasoner exited 1: ONTOLOGY STORAGE ERROR Could not save ontology to IRI: file:/Users/fabio/projects/semantic-asset-register/data/work/loc-relators-reasoned.owl
loc-relators,Library of Congress,SAR-L03,cantTell,,,,reasoner exited 1
loc-countries,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-countries,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-countries,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-countries,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-countries,Library of Congress,SAR-P03,passed,,,,
loc-countries,Library of Congress,SAR-P01,passed,,3027,,parsed 3027 triples as xml
loc-countries,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-countries,Library of Congress,SAR-L04,passed,0,335,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-countries,Library of Congress,SAR-L05,passed,0,334,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-countries,Library of Congress,SAR-L06,passed,0,334,,S14: no more than one prefLabel per language tag
loc-countries,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-countries,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-countries,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-countries,Library of Congress,SAR-D01,passed,0,334,,
loc-countries,Library of Congress,SAR-D02,failed,334,334,http://id.loc.gov/vocabulary/countries/xj,
loc-countries,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-countries,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-countries,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-countries,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-countries,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-countries,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-countries,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-countries,Library of Congress,SAR-I02,passed,0,17,,0 of 17 referenced external terms did not resolve
loc-countries,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-countries,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-countries,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-languages,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-languages,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-languages,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-languages,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-languages,Library of Congress,SAR-P03,passed,,,,
loc-languages,Library of Congress,SAR-P01,passed,,6308,,parsed 6308 triples as xml
loc-languages,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
